id,name_keywords,id_keywords
1710,"police brutality, psychology, police operation, police protection, serial killer, psychologist, cowardliness","796, 2800, 4668, 5430, 10714, 11268, 13001"
9691,"competition, assassination, cia, bank, cat, mexican standoff, seattle, hitman, mission of murder, hidden camera, rivalry, rescue, shootout, police chase, sniper rifle, silencer, double cross, caribbean, detroit michigan","271, 441, 591, 974, 977, 1666, 2350, 2708, 3045, 3979, 9823, 10084, 10950, 11148, 12355, 18107, 33456, 167861, 178929"
12665,"dead animal, shot to death, teenage boy, held at gunpoint, teacher student relationship, albino, fainting, jacobs ladder, christ allegory, psionic power, healing power, looking pale, flickering light, extrasensory perception","7345, 11325, 18068, 18320, 41355, 163531, 163533, 163534, 163540, 163543, 163545, 163552, 163553, 163558"
451,"individual, prostitute, alcohol, casino, love at first sight, lovesickness, film producer, screenwriter, hotel room, dying and death, rage and hate, unsociability, alcoholism, los angeles, alcohol abuse, attempted suicide","30, 549, 567, 585, 699, 725, 887, 888, 922, 3737, 3927, 6059, 7464, 12670, 15237, 155793"
16420,"shakespeare, jealousy, friends, moor","497, 931, 9713, 17982"
9263,"1970s, female friendship, coming of age, gynecologist, photocopier, truth or dare, woman director","1228, 5248, 10683, 170521, 170533, 170539, 187056"
17015,"captain, napoleonic wars, old flame, admiral","1316, 33384, 33386, 33388"
902,"clone, dream, island, eye, dystopia, aging, friendship, rescue, children, girl, childhood","402, 1566, 2041, 4484, 4565, 4995, 6054, 10084, 10103, 14659, 157955"
37557,"servant, cabaret, shanghai, diva, uncle, mistress, umbrella","964, 2311, 2682, 2992, 6464, 11869, 41277"
9909,"rap music, karate, high school, naval officer, teacher, amusement park","897, 3436, 6270, 6610, 10508, 155582"
63,"schizophrenia, philadelphia, cassandra syndrom, stockholm syndrome, time travel, post-apocalyptic, dystopia, lethal virus, monkey, subterranean","222, 276, 277, 278, 4379, 4458, 4565, 14675, 15149, 162801"
78802,,
9598,"sheep, pig, affection, piglet, heroism, talking animal, separation, german shepherd, grandson, talking pig","3020, 4931, 5608, 8082, 11115, 11477, 18013, 33671, 158019, 206052"
47018,"england, painter, conscientious objector, independent film, soldier","392, 437, 8997, 10183, 13065"
687,"prison, rape, socially deprived family, penalty, death penalty, despair, death row, begnadigung, therapist, self-discovery, prison cell, court case, death sentence, doomed man, sentence, lethal injection, forgiveness, charity, mercy petition, rage and hate, unsociability, right and justice, court, electric chair, cowardliness","378, 570, 1952, 2060, 2122, 2300, 2501, 2538, 2726, 2796, 2885, 3012, 3437, 3440, 3441, 3442, 3446, 3447, 3448, 3927, 6059, 6145, 6148, 11263, 13001"
139405,,
33689,"orphan, identical twin","13014, 204353"
9603,"puberty, high school, make a match, spoiled child, gay interest, conflict, woman director","1525, 6270, 6664, 7208, 10199, 11933, 187056"
34615,south africa,3644
31174,"england, shakespeare, kidnapping, murder, king","392, 497, 1930, 9826, 13084"
11443,"money, loss of virginity, hiding in a dumpster, mercy killing, armored truck, crushed by a car","10594, 11254, 159640, 159643, 159660, 159661"
35196,"jealousy, medicine, fountain, court, wealth, spaniel, gloves","931, 1279, 2098, 6148, 10329, 44448, 44449"
9312,"martial arts, monster, island, gore, sorcerer, tournament, violence, based on video game, hand to hand combat","779, 1299, 2041, 10292, 10821, 12380, 14819, 41645, 188955"
577,"adultery, winter, obsession, television, new hampshire, narcissistic personality disorder","596, 1442, 1523, 2136, 6018, 208477"
11861,"wedding vows, marriage proposal, married couple, monogamy, advice, marriage, quilt, love, family holiday, extramarital affair, grandmother, woman director","1334, 1459, 2587, 5773, 5999, 6038, 9470, 9673, 33694, 34094, 164039, 187056"
807,"self-fulfilling prophecy, detective, s.w.a.t., drug dealer, evisceration, lust and impulsiveness, rage and hate, pride and vanity, immoderateness, insomnia, investigation, pension, police, serial killer","476, 703, 1470, 2231, 3597, 3857, 3927, 3932, 4138, 4142, 5340, 6125, 6149, 10714"
10530,"culture clash, settler, forbidden love, colony, musical, gold rush, princess, romance, native american, animation, virginia, star crossed lovers, reference to pizarro, jamestown virginia, pug dog, cross cultural relationship, musket, animate tree, indian chief, based on myths or folklore, 17th century, shamanism, songs, indians vs. settlers, animal sidekick, powhatan, land claim","1463, 3591, 3691, 4090, 4344, 4542, 7376, 9840, 10322, 10336, 160977, 165086, 173808, 173811, 173815, 173823, 173824, 173825, 180217, 185343, 207941, 208426, 225547, 230456, 234183, 234184, 234185"
8391,"professor, lgbt, woman director","1992, 158718, 187056"
629,"law, relatives, theft, criminal, criminal mastermind, hungarian, sibling","3703, 5493, 14604, 15009, 18023, 18024, 18027"
117164,,
11448,"prostitute, adoption, adoptive father, childlessness, looking for  birth parents, adoptive mother, independent film, illegal prostitution, child","549, 2393, 4130, 5885, 6230, 8018, 10183, 33625, 208349"
49133,independent film,10183
26441,"sport, kids and family, soccer, woman director","6075, 9963, 13042, 187056"
97406,"alcohol, artist, music, drug, band","567, 2679, 6027, 14964, 33624"
124057,,
9089,"baltimore, thanksgiving, family clan, family conflict, generations conflict, woman director","2672, 4543, 7629, 155294, 171760, 187056"
11010,"island, letter, postman, fisherman, poet","2041, 3344, 4461, 5420, 5933"
99040,,
11359,"cupboard, games, puppet, parallel world, toy comes to life","1990, 6186, 6300, 33465, 187065"
17182,"rape, gun, self-defense, grieving parents","570, 1419, 2801, 204959"
2054,"composer, mentor, deaf-mute, musical, apprentice, private life, music, disabled","1233, 1310, 1635, 4344, 4488, 5289, 6027, 158558"
10607,"date, slang, hip-hop, cousin, parody, hood, gang, social satire, racism, gangster","248, 398, 898, 4438, 9755, 10700, 10726, 11514, 12425, 13142"
19760,"island, painting, thief, seasickness","2041, 5918, 9727, 167868"
9536,"biotope, vegetarian, pollution","4166, 4459, 6305"
11525,"hacker, virtual reality, computer, sword fight","2157, 4563, 6104, 9725"
40628,,
4482,"love triangle, southern france, estate agent, menage a trois, van, woman director","128, 2335, 2918, 3190, 4580, 187056"
10634,"rap music, parent child relationship, rapper, job","897, 970, 4562, 8438"
755,"dancing, brother brother relationship, sexual obsession, showdown, sheriff, eroticism, nudity, bank robber, vampire, holy water, siege, stripper, priest, explosion, extreme violence, bank robbery, preacher, hostage situation, crucifix, recreational vehicle, blood spurting, convenience store, female vampire, mexican american border, nightclub entertainer, boa constrictor","246, 380, 459, 797, 798, 1664, 2483, 2492, 3133, 3649, 4063, 6593, 10093, 14601, 14687, 15363, 18072, 18233, 41380, 163795, 167664, 168152, 174878, 188711, 191441, 227811"
11859,"bomb, miami, sex, detective, handcuffs, based on novel, hostage, fbi, kidnapping, russian, kgb, chase, sadism, parking garage, pizza, police protection, psychopath, remake, car crash, conspiracy, on the run, fugitive, shootout, gunfight, sadist, foot chase, police detective, police station, car chase, held at gunpoint, fbi agent, double cross, cult film, computer hacker, machine gun, swat team, grenade launcher, underwater scene, rogue agent, woman lawyer, damsel in distress","258, 416, 572, 703, 772, 818, 1562, 1812, 1930, 2808, 3278, 3713, 4426, 4530, 4735, 5430, 6259, 9714, 9844, 10410, 10562, 10718, 10950, 12371, 13125, 14967, 15167, 15321, 15483, 18320, 18525, 33456, 34117, 155555, 156650, 156788, 156816, 158247, 176802, 181145, 188294"
28387,college,3616
48750,"paris, nun, boxer, lawyer, jewish","90, 745, 2792, 10909, 11508"
20927,"florist, family relationships","2778, 10235"
36929,bully,10624
9102,"man vs machine, alien planet, struggle for survival","312, 10158, 15354"
124626,,
27526,"loss of daughter, hit-and-run driving , revenge, suspense, independent film, tragedy","6381, 6440, 9748, 9937, 10183, 10614"
9623,"jurors, blackmail, court case, son, trial, courtroom","1417, 1936, 3012, 5153, 11038, 33519"
46785,"fish, money, celebration, goldfish","1357, 10594, 33648, 40846"
400,"father son relationship, bounty hunter, boat, way of life, coffin, denver, godmother, paranoia, hitman, friendship, psychopath, revenge, murder, independent film, mafia, diner, blood, gangster, violence, illegal prostitution, extramarital affair","494, 801, 1422, 1587, 1909, 1977, 2022, 2340, 2708, 6054, 6259, 9748, 9826, 10183, 10391, 10738, 11221, 13142, 14819, 33625, 34094"
880,"suicide, underdog, free love, philosophy, rape, mentally disabled, loss of mother, village life, world war ii, feminism, indian summer , family history, widow, peasant, village, mathematics, freedom, right and justice, single, homosexuality, mother daughter relationship, domestic violence, university, woman director","236, 240, 460, 490, 570, 791, 936, 1842, 1956, 2383, 3154, 3371, 4129, 4402, 5331, 6009, 6089, 6145, 9457, 10180, 10707, 11925, 13160, 187056"
146599,"racial segregation, family relationships, rural setting, african american","6984, 10235, 11004, 12532"
188588,,
8447,"class society, rich woman - poor man, scientist, naturalist, insect","4034, 7579, 14760, 182662, 208526"
10534,"sailing trip, diary, sailing, survival, coming of age, teenage boy, discipline, squall, sail, ship captain, caribbean, male bonding, seasickness, storm at sea, 1960s","2082, 2913, 3180, 10349, 10683, 18068, 46962, 167836, 167837, 167843, 167861, 167863, 167868, 168683, 208992"
17414,"boss, fistfight, bully, orangutan, hotel manager","5306, 5572, 10624, 14762, 158039"
13997,"nitrous oxide, candid camera, double act, political satire, crooked politician, woman director","169078, 169079, 169085, 169086, 169097, 187056"
2086,"assassination, train station, politics, los angeles","441, 477, 6078, 12670"
61548,,
9095,"servant, monster, laboratory, jekyll and hyde, housemaid, 19th century","964, 1299, 10124, 156033, 191009, 207928"
12158,"vampire, half vampire","3133, 3630"
9283,hometown,155808
9208,"helicopter, river, captain, underground, mexican standoff, countdown, pilot, fistfight, canyon, major, betrayal, gunfight, train, explosion, park ranger, desert, military, nuclear device, boxing, stealth aircraft, abandoned mine, humvee","720, 1261, 1316, 1353, 1666, 1825, 3203, 5572, 8122, 9052, 10085, 12371, 13008, 14601, 15263, 18034, 162365, 208547, 209476, 214472, 215861, 219869"
40154,"play, hamlet, christmas, actor","14531, 185011, 207317, 207716"
406,"paris, neo-nazi, skinhead, robbery, police brutality, hip-hop, gun, socially deprived family, breakdance, arabian, boredom, revenge, suburb, violence, police officer, unemployment, capture, xenophobia","90, 376, 379, 642, 796, 898, 1419, 1952, 1974, 1975, 3925, 9748, 14632, 14819, 15090, 156052, 156702, 160910"
45549,,
63076,"narration, hollywood, prostitution","2398, 12396, 13059"
11062,"corruption, undercover, war on drugs, mayor, drug dealer, presidential election, undercover agent, investigation, police, drug","417, 1568, 1601, 1919, 2231, 2946, 4654, 5340, 6149, 14964"
13685,"brother brother relationship, robbery, burglar, language barrier, motel, independent film, psychiatric hospital, maid, theft, nervous breakdown, escapade, laundry room","380, 642, 1437, 2568, 2669, 10183, 10323, 13097, 14604, 15274, 187710, 187717"
47475,,
2045,"wife husband relationship, experiment, police, murder, suspense, memory, forensic, gunman, animal experimentation","1157, 1706, 6149, 9826, 9937, 10937, 160313, 163114, 168069"
9614,"loss of mother, loss of father, golf, sport, taxes","936, 1872, 2702, 6075, 6128"
688,"farewell, adultery, love at first sight, photographer, wife husband relationship, iowa, love of one's life, mother role, bridge, housewife, love letter, peasant, marriage crisis, photography, unsociability, secret love, nature documentary","455, 596, 699, 1003, 1157, 2029, 2038, 2784, 3450, 3451, 3452, 4402, 5809, 6025, 6059, 7879, 221355"
11907,"prophecy, voodoo, single, falling in love, woman director, rich man","530, 3392, 9457, 13072, 187056, 196682"
10874,"island, pirate gang, puppet, treasure hunt","2041, 4418, 6300, 6956"
89333,,
96357,ex-con,156121
197,"individual, scotland, in love with enemy, legend, independence, idealism, revolt, tyranny","30, 388, 930, 3754, 4097, 6987, 162845, 189433"
103,"vietnam veteran, taxi, obsession, drug dealer, night shift, vigilante, alienation, misanthrope, shot to death, illegal prostitution, loner","422, 444, 1523, 2231, 4225, 7002, 7368, 9622, 11325, 33625, 167104"
33542,"new york, martial arts, supermarket, gang war, disabled child, gang, wedding, diamond, bronx, duringcreditsstinger","242, 779, 1545, 2987, 4640, 10726, 13027, 33461, 161307, 179431"
43566,,
71754,"mining, dance lesson, coal mining, bagpipes","6015, 40897, 164742, 188645"
43612,"best friend, twins, country, identity swap, woman director","12392, 15016, 17953, 177035, 187056"
51352,"fascism, auschwitz, typhus, victim, interview, prejudice, burglary, rabbit","1755, 2450, 4020, 4399, 4434, 10360, 11728, 15199"
16934,"london england, poison, based on true story, murder, serial killer, mental institution, teenager, psychiatrist, stepmother, social misfit","212, 351, 9672, 9826, 10714, 11857, 13130, 15106, 232550, 234682"
10324,"roommate, single, love, independent film, best friend, brooklyn bridge","1253, 9457, 9673, 10183, 12392, 158967"
78406,"brother brother relationship, twin brother, lawyer, estate, santa barbara california","380, 7375, 10909, 155881, 208563"
55731,"hawaii, australia, teacher, car, solar power","1668, 5657, 10508, 33885, 175976"
32119,,
11066,"role of women, ladykiller, success, ladies' man, chefin, casanova, womanizer","2273, 2336, 3836, 6779, 7769, 8642, 9094"
11104,"ex-girlfriend, drug smuggle, girlfriend, snack bar, romance, hong kong, pineapple, expiration date, flight attendant","1595, 3391, 5490, 6618, 9840, 12354, 180294, 185265, 185266"
37975,,
2074,"lsd, looking for  birth parents, half-brother, independent film","5498, 6230, 6231, 10183"
27793,"flying, magic","334, 2343"
44284,woman director,187056
290157,,
110972,,
32622,"independent film, woman director","10183, 187056"
73067,"boy, writer, ireland, flashback, troop ship","5202, 13028, 14985, 187844, 208501"
11863,"callgirl, san francisco, investigation, murder","550, 582, 5340, 9826"
55475,"new york, emigration, dominican republic","242, 1625, 190019"
124636,,
9101,"submarine, u.s. navy, misfit","339, 4410, 9789"
123360,biography,5565
5757,"homosexuality, independent film, mockumentary","10180, 10183, 11800"
39428,"southern usa, based on novel, singer, south","531, 818, 10229, 207981"
124639,,
9302,"skab under tv, foran, nederste hylde","238179, 238241, 238242"
11000,"gay, drag queen, homophobia, florida, coming out, senator, politician, lgbt, crossdressing, 1990s","237, 824, 1013, 1196, 1862, 2944, 6083, 158718, 201554, 210608"
249882,"mountain, miracle, apparition, communism, virgin mary","1262, 2618, 10164, 173644, 178611"
16388,"love, independent film, best friend, true love, irish catholic","9673, 10183, 12392, 188993, 208725"
9737,"miami, detective, handcuffs, airport, mexican standoff, strip club, witness protection, car crash, internal affairs, gunfight, explosion, brutality, foot chase, car chase, drug lord, hangar, loose cannon, bust, reference to skittles, black cop, badge, action hero, corrupt cop","416, 703, 772, 822, 1666, 3688, 4009, 9844, 11730, 12371, 14601, 14707, 14967, 15483, 18026, 166856, 167114, 167115, 167119, 167124, 167128, 219404, 226376"
30765,"china, panda, poacher","478, 8531, 8723"
10474,"sport, basketball, addiction, friends, drug","6075, 6496, 6782, 9713, 14964"
22279,"england, based on novel, liverpool, theatre company, 1940s","392, 818, 6344, 206032, 207883"
30157,independent film,10183
568,"moon, florida, nasa, spaceman, race against time, houston, based on true story, space, rescue, survival, disaster, explosion, astronaut, imax, saturn v rocket, courage, hypothermia, apollo program, cape kennedy, lunar mission, spacecraft accident","305, 1196, 1432, 2345, 4776, 9609, 9672, 9882, 10084, 10349, 10617, 14601, 14626, 156395, 184994, 189098, 193479, 226233, 226234, 226235, 226236"
11780,"scotland, biography, 18th century, highlands, violent man","388, 5565, 160279, 208070, 220446"
34996,"new york, philosophy, vampire, blood, student, violence","242, 490, 3133, 11221, 12105, 14819"
414,"riddle, dc comics, rose, gotham city, partner, superhero, robin, broken neck, psychologist, violence, criminal, district attorney, millionaire, falling down stairs, tied up, tommy gun, beretta, knocked out, super powers, disfigurement, father figure","483, 849, 3259, 6969, 9104, 9715, 10486, 10525, 11268, 14819, 15009, 33518, 33626, 33981, 34156, 156116, 157166, 157583, 163455, 170383, 170652"
649,"prostitute, adultery, double life, dual identity, jealousy, wife husband relationship, brothel, dream, women's sexual identity, fantasy, masochism, independent film","549, 596, 848, 851, 931, 1157, 1411, 1566, 2316, 2486, 3260, 10183"
1873,"burma, rangoon, doctor","5499, 5855, 13005"
5894,"smoking, corner shop, cigarette, tobacco, cigar, independent film","919, 1901, 3170, 6357, 6458, 10183"
1775,,
8839,"halloween, friendship, supernatural, afterlife, friends, danger, ghost, disorder, young heroes, imaginary, supernatural ability, mischievous children","3335, 6054, 6152, 6155, 9713, 15017, 162846, 189449, 193545, 202322, 206813, 206834"
20649,"drug pusher, train, drug, drug lord","11505, 13008, 14964, 18026"
10329,"gorilla, kongo, diamond mine, diamond","690, 2521, 3379, 33461"
8963,"submarine, mutiny, russia, missile, nuclear missile, embassy, u.s. navy, battle for power, torpedo, military, moral dilemma, post cold war, aircraft carrier, chain of command, launch code, sonar","339, 1860, 2139, 2534, 3312, 4123, 4410, 4933, 6791, 162365, 198423, 217133, 221092, 226740, 226741, 226742"
26564,"underground, biography, art","1353, 5565, 14893"
8068,"gunslinger, anti terror, ambush, mexico, showdown, guitar, nudity, hitman, bartender, revenge, tragic hero, shootout, mariachi, explosion, extreme violence, brutality, drug lord, leg brace, concealed weapon, flashback, bookstore","75, 139, 502, 534, 797, 953, 2483, 2708, 3458, 9748, 10044, 10950, 14575, 14601, 14687, 14707, 18026, 41372, 154889, 187844, 226790"
8512,"jazz club, murder, los angeles, private detective, film noir, neo-noir","5823, 9826, 12670, 155790, 195402, 207268"
1572,"bomb, taxi, riddle, robbery, detective, helicopter, gold, subway, ship, fistfight, police, sequel, deception, shootout, new york city, explosion, violence, car chase, fbi agent, simon says, flashback, dump truck, aqueduct, action hero, federal reserve bank","258, 444, 483, 642, 703, 720, 1321, 1552, 3799, 5572, 6149, 9663, 9758, 10950, 14512, 14601, 14819, 15483, 18525, 177309, 187844, 188329, 192707, 219404, 226838"
13552,"sex, eroticism, nudity, nazis, suspense, drifter, voyeur","572, 1664, 2483, 2652, 9937, 13017, 180340"
259209,,
6520,"camelot, knight, king arthur, excalibur, knights of the round table","3966, 10466, 10982, 177128, 177129"
9073,"human animal relationship, whale, killer whale","2526, 4676, 155529"
10428,"female nudity, hacker, nudity, computer virus, virtual reality, computer, sexual fantasy, prank, internet, cyberpunk, teenager, new york city, secret service, computer hacker, dream sequence","293, 2157, 2483, 2812, 4563, 6104, 9835, 9864, 11615, 12190, 13130, 14512, 41249, 155555, 160840"
17447,"gay, aids, based on play or musical, hiv positive","237, 740, 10181, 165770"
9886,"brain, childhood memory, dystopia, pharmaceutical industry, computer chip, courier, cyber, cyberpunk","2588, 3321, 4565, 6135, 6566, 8662, 10919, 12190"
9482,"judge, post-apocalyptic, dystopia, based on comic, police officer, based on graphic novel, frame up, dystopic future, framed for murder, gene, prosthetic limb, post holocaust, dna testing, dredd, 2000 ad","934, 4458, 4565, 9717, 15090, 18712, 160159, 162988, 180172, 182703, 182706, 182709, 182711, 203165, 236590"
19326,"stripper, jury, jurist, independent film, jury duty, verdict","6593, 8881, 9465, 10183, 10639, 10640"
9344,"puberty, first time","1525, 2201"
9071,"cinema, independent film, filmmaker","1388, 10183, 11614"
8973,"fanatic, supernatural, wizardry, resurrection, sect, occultism","3419, 6152, 6333, 6506, 173162, 221387"
15730,,
47608,"suicide attempt, college, teen angst, mental illness, woman director","1252, 3616, 10049, 41329, 187056"
2293,"sex, game show, slacker, shopping, mall, ex-boyfriend ex-girlfriend relationship, jay and silent bob, silent man, coke, bandleader, aftercreditsstinger","572, 4325, 8631, 41175, 157690, 162296, 168033, 171329, 171343, 171346, 179430"
9070,"based on tv series, tokusatsu, superhero team, ethnic diversity, super sentai, power rangers, mighty morphin power rangers, mmpr","10988, 12667, 155030, 173577, 191474, 201635, 203223, 203224"
68274,"widow, female friendship, grief, death of husband","4129, 5248, 9872, 175421"
48787,"chase, police, murder, mute, disk","3713, 6149, 9826, 10392, 197452"
34574,"new york, vampire, dracula","242, 3133, 3633"
1642,"cheating, new identity, computer virus, chase, computer, stalking","1332, 2547, 2812, 3713, 6104, 10333"
11472,"parent child relationship, baby, marriage, pregnancy, child wish","970, 1009, 6038, 13149, 168386"
36196,"library, party, independent film, free spirit, woman director, librarian","295, 8508, 10183, 11678, 187056, 207447"
11980,"angel, archangel gabriel, menschheit","290, 3648, 9511"
58372,"trauma, game show, female protagonist, christmas","2754, 4325, 11322, 207317"
32646,"sex, chemical, medicine, housewife, pollution, quarantine, independent film, allergy, psychiatrist, illness, disorder, retreat, multiple chemical sensitivity (mcs), environmental illness","572, 852, 1279, 3451, 6305, 6898, 10183, 12097, 15106, 40895, 189449, 202579, 235410, 235411"
10533,"based on novel, burning of witches, puritan, pregnancy, period drama, extramarital affair","818, 2871, 10223, 13149, 15060, 34094"
56088,,
10802,"dancing, female nudity, go-go dancer, spanner, seduction, striptease, sexappeal","246, 293, 1663, 2874, 3182, 4378, 7017"
10149,"smoking, robber, cigarette, cigar, laden, independent film, writer","919, 1621, 3170, 6458, 8736, 10183, 13028"
18402,"horse, savannah, based on true story, family","2673, 7323, 9672, 18035"
9348,"telepathy, dna, paranoia, genetics, instinct, femme fatale, alien, on the run, decapitation, sexual attraction, los angeles, cocoon, genetic engineering, scientists, alien dna","1475, 1718, 2340, 6017, 6245, 9016, 9951, 10562, 11181, 11190, 12670, 163481, 163561, 234319, 235513"
139408,"restaurant, oil, rural setting","1946, 10590, 11004"
281,"pornography, prostitute, rape, police brutality, dream, ex-girlfriend, future, bodyguard, rapper, virtual reality, dystopia, minidisc, police, ex-cop, murder, cyberpunk, los angeles, violence, criminal, private detective, revolt, woman director","445, 549, 570, 796, 1566, 1595, 2964, 3088, 4562, 4563, 4565, 4566, 6149, 8440, 9826, 12190, 12670, 14819, 15009, 155790, 162845, 187056"
5967,"car mechanic, letter, musical, war, single","3296, 3344, 4344, 6091, 9457"
79593,,
47939,"baseball, drifter, dog, korean war, woman director","1480, 13017, 15162, 158534, 187056"
36834,"mentor, poet, woman director","1310, 5933, 187056"
9090,"transvestism, gay, new york, drag queen, homophobia, travel, road movie, woman director","108, 237, 242, 824, 1013, 9935, 167043, 187056"
3512,"terrorist, pentagon, satellite, navy seal, train","949, 2314, 3376, 11219, 13008"
52856,woman director,187056
77350,fashion,15479
9560,"world war ii, vineyard, love, remake, pregnancy, harvest, grape, abandoned woman","1956, 5334, 9673, 9714, 13149, 190061, 191795, 229895"
9804,"ocean, tattoo, mutant, water, dystopia, doomsday","270, 331, 1852, 4237, 4565, 34161"
31611,"dystopia, black white relations, alternative universe","4565, 11504, 208507"
65796,"opium, loss of eyesight, biography, sioux, wild bill hickok, calamity jane","1632, 2490, 5565, 8099, 180234, 190970"
49805,,
26258,"cave, waterfall, children, mistaken identity, boy scouts leader","1964, 5739, 10103, 10325, 169995"
50797,"wife husband relationship, colonel","1157, 10786"
19155,"monk, mountain, restaurant, war photographer, christian, fashion photographer, girl, violence, albanian, macedonia","345, 1262, 1946, 4747, 5950, 6805, 14659, 14819, 182045, 206119"
76,"dialogue, sunrise, talking, soulmates, walking, austria, traveller, danube, bittersweet, romantic, vienna","811, 813, 814, 815, 816, 1201, 197528, 215205, 224279, 233027, 233055"
11017,woman director,187056
37141,"alcohol, obsession, babysitter, party, teenager, parents","567, 1523, 2604, 8508, 13130, 159947"
9382,"aids, roommate, homicide, car journey, friendship, friends, homosexuality, escape, road movie","740, 1253, 1849, 1926, 6054, 9713, 10180, 10685, 167043"
6715,mississippi,787
18256,"castle, voyeurism","3098, 178649"
22625,"forbidden love, moral conflict, independent film","3691, 4690, 10183"
2292,"salesclerk, loser, aftercreditsstinger","1361, 3090, 179430"
1909,"sex addiction, love, mental institution, patient, psychiatrist, don juan","5906, 9673, 11857, 14781, 15106, 180077"
8984,"employee, workplace, sexual harassment, intrigue","6021, 6282, 10850, 34038"
61813,"vision, psychic","10629, 14742"
4954,"terrorist, transport of prisoners, airplane, parachuting, suspense","949, 3543, 3800, 4679, 9937"
62488,"heist, expectant father","10051, 160945"
10531,"married couple, chile, pinochet-regime, revenge, doctor, torture, humiliation","2587, 6460, 9137, 9748, 13005, 13006, 33740"
11929,"child abuse, detective, based on novel, bar, island, suspicion of murder, murder, suspense, dysfunctional family, domestic violence, reporter, maid, anger, alcoholic, accident, abusive father, abusive husband, anti-depressant, bangor-maine, bank account","516, 703, 818, 1010, 2041, 2619, 9826, 9937, 10041, 11925, 12193, 13097, 18047, 33457, 207819, 212642, 212643, 212644, 212645, 212646"
8467,"gas station, motel, utah, stupidity, pill, prank, cigar smoking, violence, criminal, fired from the job, clumsiness, stepmother stepdaughter relationship, sitting on a toilet, aspen colorado, parakeet, defecation, scooter, hotel suite, endangered species, foolish, laxative","1420, 2669, 5303, 6241, 8126, 9864, 11333, 14819, 15009, 18326, 159574, 160962, 167310, 167584, 167591, 167598, 167608, 167615, 167617, 167619, 215404"
10451,"cooking, sense of life, daughter, dating, family","1918, 2875, 5600, 13043, 18035"
20156,"secret, nightclub, pet shop, independent film, unhappiness","1328, 2334, 2589, 10183, 156455"
18395,"female nudity, sexuality, island, love, mistress, kinky, smuggler, bdsm","293, 738, 2041, 9673, 11869, 155271, 155336, 158713"
